eqId,runId,optId,D,OA,TO,xmax,ymax,zmax,tmax,fpSize,addsLup,subsLup,multsLup,divsLup,readsLup,writesLup,ldMats,immediateMats,nThreads,duration (s)
generic,1,orig,1,4,1,2.56e+05,0,0,16,8,5,0,10,0,7,1,1,1,1,0.03187
generic,1,orig,2,4,1,512,512,0,16,8,9,0,14,0,15,1,1,1,1,0.1193
generic,1,orig,3,4,1,64,64,64,16,8,13,0,18,0,23,1,1,1,1,0.1282
generic,1,orig,1,2,2,2.56e+05,0,0,16,8,4,0,9,0,6,1,1,1,1,0.02377
generic,1,orig,2,2,2,512,512,0,16,8,6,0,11,0,10,1,1,1,1,0.06762
generic,1,orig,3,2,2,64,64,64,16,8,8,0,13,0,14,1,1,1,1,0.07356
generic,1,orig,1,4,2,2.56e+05,0,0,16,8,6,0,11,0,8,1,1,1,1,0.03426
generic,1,orig,2,4,2,512,512,0,16,8,10,0,15,0,16,1,1,1,1,0.09682
generic,1,orig,3,4,2,64,64,64,16,8,14,0,19,0,24,1,1,1,1,0.2869
generic,1,PD,1,2,0,2.56e+05,0,0,16,8,2,0,3,0,1,1,0,1,1,0.007544
generic,1,PD,2,2,0,512,512,0,16,8,4,0,5,0,3,1,0,1,1,0.008781
generic,1,PD,3,2,0,64,64,64,16,8,6,0,7,0,5,1,0,1,1,0.01677
generic,1,PD,1,4,0,2.56e+05,0,0,16,8,4,0,5,0,1,1,0,1,1,0.01108
generic,1,PD,2,4,0,512,512,0,16,8,8,0,9,0,5,1,0,1,1,0.01698
generic,1,PD,3,4,0,64,64,64,16,8,12,0,13,0,9,1,0,1,1,0.07359
generic,1,PD,1,2,1,2.56e+05,0,0,16,8,3,0,4,0,2,1,0,1,1,0.00807
generic,1,PD,2,2,1,512,512,0,16,8,5,0,6,0,4,1,0,1,1,0.00936
generic,1,PD,3,2,1,64,64,64,16,8,7,0,8,0,6,1,0,1,1,0.01631
generic,1,PD,1,4,1,2.56e+05,0,0,16,8,5,0,6,0,2,1,0,1,1,0.0124
generic,1,PD,2,4,1,512,512,0,16,8,9,0,10,0,6,1,0,1,1,0.0176
generic,1,PD,3,4,1,64,64,64,16,8,13,0,14,0,10,1,0,1,1,0.07862
generic,1,PD,1,2,2,2.56e+05,0,0,16,8,4,0,5,0,3,1,0,1,1,0.009021
generic,1,PD,2,2,2,512,512,0,16,8,6,0,7,0,5,1,0,1,1,0.01312
generic,1,PD,3,2,2,64,64,64,16,8,8,0,9,0,7,1,0,1,1,0.01954
generic,1,PD,1,4,2,2.56e+05,0,0,16,8,6,0,7,0,3,1,0,1,1,0.01354
generic,1,PD,2,4,2,512,512,0,16,8,10,0,11,0,7,1,0,1,1,0.01902
generic,1,PD,3,4,2,64,64,64,16,8,14,0,15,0,11,1,0,1,1,0.076
generic,1,PD,1,2,0,2.56e+05,0,0,16,8,2,0,3,0,4,1,1,1,1,0.007818
generic,1,PD,2,2,0,512,512,0,16,8,4,0,5,0,8,1,1,1,1,0.01964
generic,1,PD,3,2,0,64,64,64,16,8,6,0,7,0,12,1,1,1,1,0.03421
generic,1,PD,1,4,0,2.56e+05,0,0,16,8,4,0,5,0,6,1,1,1,1,0.01552
generic,1,PD,2,4,0,512,512,0,16,8,8,0,9,0,14,1,1,1,1,0.02852
generic,1,PD,3,4,0,64,64,64,16,8,12,0,13,0,22,1,1,1,1,0.1001
generic,1,PD,1,2,1,2.56e+05,0,0,16,8,3,0,4,0,5,1,1,1,1,0.00819
