eqId,runId,optId,D,OA,TO,xmax,ymax,zmax,tmax,fpSize,addsLup,subsLup,multsLup,divsLup,readsLup,writesLup,ldMats,immediateMats,nThreads,duration (s)
10,1,1,2,2,0,512,512,0,16,8,4,0,5,4,8,1,1,1,1,0.09276
10,1,1,3,2,0,64,64,64,16,8,6,0,7,4,12,1,1,1,1,0.08999
10,1,1,1,4,0,2.56e+05,0,0,16,8,4,0,5,4,6,1,1,1,1,0.09406
10,1,1,2,4,0,512,512,0,16,8,8,0,9,4,14,1,1,1,1,0.09244
10,1,1,3,4,0,64,64,64,16,8,12,0,13,4,22,1,1,1,1,0.1489
10,1,1,1,2,1,2.56e+05,0,0,16,8,3,0,4,4,5,1,1,1,1,0.0904
10,1,1,2,2,1,512,512,0,16,8,5,0,6,4,9,1,1,1,1,0.09668
10,1,1,3,2,1,64,64,64,16,8,7,0,8,4,13,1,1,1,1,0.08493
10,1,1,1,4,1,2.56e+05,0,0,16,8,5,0,6,4,7,1,1,1,1,0.08909
10,1,1,2,4,1,512,512,0,16,8,9,0,10,4,15,1,1,1,1,0.1306
10,1,1,3,4,1,64,64,64,16,8,13,0,14,4,23,1,1,1,1,0.1527
10,1,1,1,2,2,2.56e+05,0,0,16,8,4,0,5,4,6,1,1,1,1,0.08973
10,1,1,2,2,2,512,512,0,16,8,6,0,7,4,10,1,1,1,1,0.09688
10,1,1,3,2,2,64,64,64,16,8,8,0,9,4,14,1,1,1,1,0.09554
10,1,1,1,4,2,2.56e+05,0,0,16,8,6,0,7,4,8,1,1,1,1,0.09145
10,1,1,2,4,2,512,512,0,16,8,10,0,11,4,16,1,1,1,1,0.1459
10,1,1,3,4,2,64,64,64,16,8,14,0,15,4,24,1,1,1,1,0.297
10,1,1,1,2,0,2.56e+05,0,0,16,8,2,0,7,0,1,1,0,1,1,0.01945
10,1,1,2,2,0,512,512,0,16,8,4,0,9,0,3,1,0,1,1,0.02459
10,1,1,3,2,0,64,64,64,16,8,6,0,11,0,5,1,0,1,1,0.02872
10,1,1,1,4,0,2.56e+05,0,0,16,8,4,0,9,0,1,1,0,1,1,0.02983
10,1,1,2,4,0,512,512,0,16,8,8,0,13,0,5,1,0,1,1,0.04482
10,1,1,3,4,0,64,64,64,16,8,12,0,17,0,9,1,0,1,1,0.06271
10,1,1,1,2,1,2.56e+05,0,0,16,8,3,0,8,0,2,1,0,1,1,0.0163
10,1,1,2,2,1,512,512,0,16,8,5,0,10,0,4,1,0,1,1,0.02674
10,1,1,3,2,1,64,64,64,16,8,7,0,12,0,6,1,0,1,1,0.03232
10,1,1,1,4,1,2.56e+05,0,0,16,8,5,0,10,0,2,1,0,1,1,0.0324
10,1,1,2,4,1,512,512,0,16,8,9,0,14,0,6,1,0,1,1,0.0491
10,1,1,3,4,1,64,64,64,16,8,13,0,18,0,10,1,0,1,1,0.06662
10,1,1,1,2,2,2.56e+05,0,0,16,8,4,0,9,0,3,1,0,1,1,0.0239
10,1,1,2,2,2,512,512,0,16,8,6,0,11,0,5,1,0,1,1,0.02944
10,1,1,3,2,2,64,64,64,16,8,8,0,13,0,7,1,0,1,1,0.0345
10,1,1,1,4,2,2.56e+05,0,0,16,8,6,0,11,0,3,1,0,1,1,0.03411
10,1,1,2,4,2,512,512,0,16,8,10,0,15,0,7,1,0,1,1,0.05236
10,1,1,3,4,2,64,64,64,16,8,14,0,19,0,11,1,0,1,1,0.06782
10,1,1,1,2,0,2.56e+05,0,0,16,8,2,0,7,0,4,1,1,1,1,0.01926
